project_desc,country,cost_euros,source,notes
Pristina - Albania (R7) Motorway,kosovo,700000000,https://en.wikipedia.org/wiki/R7_Motorway_(Kosovo),
Belgrade National Stadium Construction,serbia,250000000,http://www.insideworldfootball.com/world-football/europe/18113-serbs-plan-250m-new-national-stadium-in-belgrade,
Bar to Boljari Highway,montenegro,809580000,http://www.balkaneu.com/chinese-construction-highway-montenegro/,
Belgrade Waterfront,serbia,3000000000,http://www.bloomberg.com/news/articles/2015-04-26/serbia-abu-dhabi-sign-contract-for-3-billion-property-project,private plus public expenditure
Pristina - Skopje Motorway,kosovo,820000000,http://inserbia.info/today/2014/07/kosovo-construction-of-pristina-skopje-highway-starts/,
Montenegro Water Infrastructure,montenegro,183000000,http://www.dw.com/en/montenegro-modernizes-water-infrastructure/a-16948206,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
