unit,country,cost_euros,source,notes
Annual Electricity,kosovo,1080,http://www.numbeo.com/cost-of-living/country_result.jsp?country=Kosovo+%28Disputed+Territory%29,"Basic (Electricity, Heating, Water, Garbage) for 85m2 Apartment"
Annual Electricity,serbia,1440,http://www.numbeo.com/cost-of-living/country_result.jsp?country=Serbia,"Basic (Electricity, Heating, Water, Garbage) for 85m2 Apartment"
Annual Electricity,montenegro,1236,http://www.numbeo.com/cost-of-living/country_result.jsp?country=Montenegro,"Basic (Electricity, Heating, Water, Garbage) for 85m2 Apartment"
Annual Rent,kosovo,3180,http://www.numbeo.com/cost-of-living/country_result.jsp?country=Kosovo+%28Disputed+Territory%29,Apartment (3 bedrooms) Outside of Centre
Annual Rent,serbia,2520,http://www.numbeo.com/cost-of-living/country_result.jsp?country=Serbia,Apartment (3 bedrooms) Outside of Centre
Annual Rent,montenegro,3600,http://www.numbeo.com/cost-of-living/country_result.jsp?country=Montenegro,Apartment (3 bedrooms) Outside of Centre
New Golf,all,17577,http://www.porsche-sever.rs/Haendler/Y10200/?vw&id=98000&DOM=/haendler/modeli/golf_2/,Golf Trend 1.2 TSI
Average Annual Salary,kosovo,4500,http://www.numbeo.com/cost-of-living/country_result.jsp?country=Kosovo+%28Disputed+Territory%29,Average Annual Disposable Salary (After Tax)
Average Annual Salary,serbia,3960,http://www.numbeo.com/cost-of-living/country_result.jsp?country=Serbia,Average Annual Disposable Salary (After Tax)
Average Annual Salary,montenegro,5100,http://www.numbeo.com/cost-of-living/country_result.jsp?country=Montenegro,Average Annual Disposable Salary (After Tax)
Average Teacher Annual Salary,kosovo,4389,http://www.balkaneu.com/government-kosovo-increases-wages-pensions-20/,Calculated as (290+375)/2*(1+0.1)*12
Average Teacher Annual Salary,serbia,3960,http://www.balkaneu.com/government-kosovo-increases-wages-pensions-20/,
Average Teacher Annual Salary,montenegro,6360,http://www.balkaneu.com/government-kosovo-increases-wages-pensions-20/,
