fina,Naziv korisnika,Izvršenje 2011,Izvršenje 2012,Izvršenje 2013,Izvršenje 2014
10101,Predsjednik Crne Gore,"813,373.72","700,491.01","648,644.54","693,074.00"
20101,Skupština Crne Gore,"5,403,840.04","5,968,072.59","6,585,204.24","6,398,765.62"
20102,Državna izborna komisija,"59,570.00","65,077.08","1,022,297.09","112,485.27"
20103,Sredstva za rad parlamentarnih partija,"3,158,044.08","2,980,999.98","3,000,983.38","3,236,439.24"
20105,Savjet za građansku kontrolu rada policije,"34,990.58","35,000.00","34,525.00","35,000.00"
20106,Cetinjski parlamentarni forum,"49,576.09","31,172.81","31,942.36","44,655.93"
20108,Demokratske radionice,,,,"99,667.96"
20107,Nacionalni Savjet za evropske integracije,"78,928.68","2,169.59",,
30101,Ustavni sud Crne Gore,"647,613.78","661,209.45","647,998.19","935,823.20"
30102,Sudstvo,"19,288,921.06","22,670,199.78","22,064,453.41","22,766,531.30"
30103,Tužilaštva,"5,108,902.09","5,378,285.30","5,412,824.84","5,612,226.30"
40101,Generalni sekretarijat Vlade Crne Gore,"4,162,833.07","3,728,077.09","4,152,852.42","5,319,341.80"
40103,Savjet za privatizaciju i kapitalne projekte,"719,011.18","387,503.64","532,411.79","492,613.30"
40105,Sekretarijat za zakonodavstvo,"270,921.47","231,530.05","243,136.18","293,772.66"
40107,Državni protokol,"277,743.80","130,172.50",,
40108,Agencija Crne Gore za promociju stranih investicija,"169,004.19","172,000.00","137,374.99","90,000.00"
40110,Sredstva za rješavanje stambenih potreba,"465,000.00","754,000.00","846,784.19","785,500.00"
40113,Kancelarija za borbu protiv trgovine ljudima,"109,412.77",,,
40114,Kancelarija za održivi razvoj,"123,838.75",,,
40115,Komisija za kontrolu postupka javnih nabavki,"136,074.82","183,866.48","171,839.33","172,648.74"
40116,Komisija za koncesije,"90,111.34","99,855.78","66,802.27","42,943.64"
40117,Službeni list Crne Gore,"193,500.00","120,000.00","39,999.64","9,500.00"
40118,Kancelarija zastupnika Crne Gore pred evropskim sudom za ljudska prava,"80,826.45","80,575.66","79,346.63",
40119,Savjet za regulatornu reformu i unapređenje poslovnog ambijenta,,"95,965.44","100,254.62","102,181.59"
40119,Savjet za eliminisanje biznis barijera,"137,562.37",,,
40120,Komisija za raspodjelu sredstava nevladinim organizacijama,"250,993.24",0.00,0.00,0.00
