општина,конто,опис конта,република ,аутономна покрајина,општина града,ООСО,донације,остали извори,укупно
НОВИ САД,411,"ПЛАТЕ, ДОДАЦИ И НАКНАДЕ ЗАПОСЛЕНИХ (ЗАРАДЕ) (5174)",672232,1448779,30972,0,0,19811,2171794
НОВИ САД,412,СОЦИЈАЛНИ ДОПРИНОСИ НА ТЕРЕТ ПОСЛОДАВЦА (од 5176 до 5178),126069,259038,5544,0,0,3433,394084
НОВИ САД,413,НАКНАДЕ У НАТУРИ (5180),13796,15620,315,0,0,1437,31168
НОВИ САД,414,СОЦИЈАЛНА ДАВАЊА ЗАПОСЛЕНИМА (од 5182 до 5185),6597,7678,0,0,0,17515,31790
НОВИ САД,415,НАКНАДА ТРОШКОВА ЗА ЗАПОСЛЕНЕ (5187),18221,33220,10,0,0,1160,52611
НОВИ САД,416,НАГРАДЕ ЗАПОСЛЕНИМА И ОСТАЛИ ПОСЕБНИ РАСХОДИ (5189),5,3571,0,0,0,5730,9306
НОВИ САД,417,ПОСЛАНИЧКИ ДОДАТАК (5191),0,101277,0,0,0,0,101277
НОВИ САД,418,СУДИЈСКИ ДОДАТАК (5193),0,0,0,0,0,0,0
НОВИ САД,421,СТАЛНИ ТРОШКОВИ (од 5196 до 5202),9232,301395,6115,0,248,12520,329510
НОВИ САД,422,ТРОШКОВИ ПУТОВАЊА (од 5204 до 5208),9660,60240,0,0,4465,13812,88177
НОВИ САД,423,УСЛУГЕ ПО УГОВОРУ (од 5210 до 5217),12045,338705,461,0,21416,64033,436660
НОВИ САД,424,СПЕЦИЈАЛИЗОВАНЕ УСЛУГЕ (од 5219 до 5225),86780,438918,8023,0,10195,49117,593033
НОВИ САД,425,ТЕКУЋЕ ПОПРАВКЕ И ОДРЖАВАЊЕ (5227 + 5228),1528,48888,0,0,0,7384,57800
НОВИ САД,426,МАТЕРИЈАЛ (од 5230 до 5238),14014,346713,5235,0,606,15211,381779
НОВИ САД,431,АМОРТИЗАЦИЈА НЕКРЕТНИНА И ОПРЕМЕ (од 5241 до 5243),0,0,0,0,0,5277,5277
НОВИ САД,432,АМОРТИЗАЦИЈА КУЛТИВИСАНЕ ИМОВИНЕ (5245),0,0,0,0,0,0,0
НОВИ САД,433,УПОТРЕБА ДРАГОЦЕНОСТИ (5247),0,0,0,0,0,0,0
НОВИ САД,434,УПОТРЕБА ПРИРОДНЕ ИМОВИНЕ (од 5249 до 5251),0,0,0,0,0,0,0
НОВИ САД,435,АМОРТИЗАЦИЈА НЕМАТЕРИЈАЛНЕ ИМОВИНЕ (5253),0,0,0,0,0,280,280
НОВИ САД,441,ОТПЛАТЕ ДОМАЋИХ КАМАТА (од 5256 до 5264),0,0,0,0,0,1,1
НОВИ САД,442,ОТПЛАТА СТРАНИХ КАМАТА (од 5266 до 5271),0,0,0,0,0,0,0
НОВИ САД,443,ОТПЛАТА КАМАТА ПО ГАРАНЦИЈАМА (5273),0,0,0,0,0,0,0
НОВИ САД,444,ПРАТЕЋИ ТРОШКОВИ ЗАДУЖИВАЊА (од 5275 до 5277),0,247,0,0,0,679,926
